region,regname,yearcode,age2,tenure4,N_ten4s,N_all2,tenurename
0,UK,1994,38,1,556558.698089494,772089,Owner occupier
0,UK,1994,38,2,131004.312667823,772089,Social rent
0,UK,1994,38,3,42897.3201589216,772089,Private rent
0,UK,1994,38,4,41628.6690837613,772089,Care of/rent free
0,UK,1994,39,1,518504.184928977,705162,Owner occupier
0,UK,1994,39,2,117026.400860479,705162,Social rent
0,UK,1994,39,3,37096.9005271212,705162,Private rent
0,UK,1994,39,4,32534.5136834232,705162,Care of/rent free
0,UK,1994,40,1,559997.683317543,742014,Owner occupier
0,UK,1994,40,2,108551.312376655,742014,Social rent
0,UK,1994,40,3,35728.9464333217,742014,Private rent
0,UK,1994,40,4,37736.05787248,742014,Care of/rent free
0,UK,1994,41,1,501205.517190216,666825,Owner occupier
0,UK,1994,41,2,98015.161885671,666825,Social rent
0,UK,1994,41,3,34439.9153185768,666825,Private rent
0,UK,1994,41,4,33164.4056055361,666825,Care of/rent free
0,UK,1994,42,1,562000.45937435,752226,Owner occupier
0,UK,1994,42,2,113631.874866027,752226,Social rent
0,UK,1994,42,3,38988.110142527,752226,Private rent
0,UK,1994,42,4,37605.5556170965,752226,Care of/rent free
0,UK,1994,43,1,578026.176572467,762163,Owner occupier
0,UK,1994,43,2,110281.939609943,762163,Social rent
0,UK,1994,43,3,36664.9657262884,762163,Private rent
0,UK,1994,43,4,37189.9180913017,762163,Care of/rent free
0,UK,1994,44,1,566827.18434327,734831,Owner occupier
0,UK,1994,44,2,103960.680886353,734831,Social rent
0,UK,1994,44,3,32936.5449757196,734831,Private rent
0,UK,1994,44,4,31106.5897946573,734831,Care of/rent free
0,UK,1994,45,1,545128.564724619,705661,Owner occupier
0,UK,1994,45,2,97467.8715912481,705661,Social rent
0,UK,1994,45,3,32259.7398485243,705661,Private rent
0,UK,1994,45,4,30804.8238356088,705661,Care of/rent free
0,UK,1994,46,1,587094.430643464,766636,Owner occupier
0,UK,1994,46,2,107836.727282995,766636,Social rent
0,UK,1994,46,3,36838.6241893869,766636,Private rent
0,UK,1994,46,4,34866.2178841535,766636,Care of/rent free
0,UK,1994,47,1,753210.939153963,959112,Owner occupier
0,UK,1994,47,2,125788.775875491,959112,Social rent
0,UK,1994,47,3,46085.9580892437,959112,Private rent
0,UK,1994,47,4,34026.3268813025,959112,Care of/rent free
0,UK,1994,48,1,612638.664301444,757710,Owner occupier
0,UK,1994,48,2,83842.9406122077,757710,Social rent
0,UK,1994,48,3,33864.7861074288,757710,Private rent
0,UK,1994,48,4,27363.6089789199,757710,Care of/rent free
0,UK,1994,49,1,575776.018085097,721794,Owner occupier
0,UK,1994,49,2,87222.5995471462,721794,Social rent
0,UK,1994,49,3,31157.4114532036,721794,Private rent
0,UK,1994,49,4,27637.9709145534,721794,Care of/rent free
0,UK,1994,50,1,548686.888343602,688832,Owner occupier
0,UK,1994,50,2,88839.0333696193,688832,Social rent
0,UK,1994,50,3,26876.4321364762,688832,Private rent
0,UK,1994,50,4,24429.646150303,688832,Care of/rent free
0,UK,1994,51,1,524116.245343384,659143,Owner occupier
0,UK,1994,51,2,85402.1539472003,659143,Social rent
0,UK,1994,51,3,25909.1560187265,659143,Private rent
0,UK,1994,51,4,23715.444690689,659143,Care of/rent free
0,UK,1994,52,1,518056.085176454,663214,Owner occupier
0,UK,1994,52,2,91556.0835159987,663214,Social rent
0,UK,1994,52,3,26905.2882177489,663214,Private rent
0,UK,1994,52,4,26696.5430897981,663214,Care of/rent free
0,UK,1994,53,1,450472.212517891,576008,Owner occupier
0,UK,1994,53,2,82807.2907876069,576008,Social rent
0,UK,1994,53,3,21847.7424536582,576008,Private rent
0,UK,1994,53,4,20880.7542408435,576008,Care of/rent free
0,UK,1994,54,1,436959.575683108,567091,Owner occupier
0,UK,1994,54,2,88405.2882185073,567091,Social rent
0,UK,1994,54,3,22482.6436904786,567091,Private rent
0,UK,1994,54,4,19243.4924079059,567091,Care of/rent free
0,UK,1994,55,1,435688.562998888,557028,Owner occupier
0,UK,1994,55,2,86580.0986597356,557028,Social rent
0,UK,1994,55,3,18578.9660476622,557028,Private rent
0,UK,1994,55,4,16180.3722937141,557028,Care of/rent free
0,UK,1994,56,1,456922.697805439,593254,Owner occupier
0,UK,1994,56,2,96473.0520056509,593254,Social rent
0,UK,1994,56,3,22368.5692135791,593254,Private rent
0,UK,1994,56,4,17489.6809753308,593254,Care of/rent free
0,UK,1994,57,1,433700.93693551,569941,Owner occupier
0,UK,1994,57,2,98499.223485342,569941,Social rent
0,UK,1994,57,3,23447.7785769399,569941,Private rent
0,UK,1994,57,4,14293.0610022078,569941,Care of/rent free
0,UK,1994,58,1,436648.562585802,581830,Owner occupier
0,UK,1994,58,2,102256.218486489,581830,Social rent
0,UK,1994,58,3,25616.7223908835,581830,Private rent
0,UK,1994,58,4,17308.4965368252,581830,Care of/rent free
0,UK,1994,59,1,425899.395990788,575764,Owner occupier
0,UK,1994,59,2,107622.010866962,575764,Social rent
0,UK,1994,59,3,25566.4486212034,575764,Private rent
0,UK,1994,59,4,16676.1445210472,575764,Care of/rent free
0,UK,1994,60,1,379407.252197447,511442,Owner occupier
0,UK,1994,60,2,96339.6074277062,511442,Social rent
0,UK,1994,60,3,21062.429990992,511442,Private rent
0,UK,1994,60,4,14632.7103838548,511442,Care of/rent free
0,UK,1994,61,1,363432.184490631,491249,Owner occupier
0,UK,1994,61,2,98145.1969977154,491249,Social rent
0,UK,1994,61,3,21131.2205288462,491249,Private rent
0,UK,1994,61,4,8540.39798280705,491249,Care of/rent free
0,UK,1994,62,1,427320.640148552,574972,Owner occupier
0,UK,1994,62,2,114507.302175149,574972,Social rent
0,UK,1994,62,3,20184.8827756908,574972,Private rent
0,UK,1994,62,4,12959.174900608,574972,Care of/rent free
0,UK,1994,63,1,416951.727701164,562542,Owner occupier
0,UK,1994,63,2,112935.294477151,562542,Social rent
0,UK,1994,63,3,17933.7802362257,562542,Private rent
0,UK,1994,63,4,14721.1975854597,562542,Care of/rent free
0,UK,1994,64,1,441447.373895667,612238,Owner occupier
0,UK,1994,64,2,133708.186017595,612238,Social rent
0,UK,1994,64,3,22210.5172024238,612238,Private rent
0,UK,1994,64,4,14871.9228843141,612238,Care of/rent free
0,UK,1994,65,1,384228.6634467,540339,Owner occupier
0,UK,1994,65,2,121666.007845698,540339,Social rent
0,UK,1994,65,3,18700.2648965893,540339,Private rent
0,UK,1994,65,4,15744.0638110127,540339,Care of/rent free
0,UK,1994,66,1,345984.43568726,472625,Owner occupier
0,UK,1994,66,2,99272.2916268145,472625,Social rent
0,UK,1994,66,3,14327.9527083771,472625,Private rent
0,UK,1994,66,4,13040.3199775485,472625,Care of/rent free
0,UK,1994,67,1,375599.260245283,535538,Owner occupier
0,UK,1994,67,2,128745.354391112,535538,Social rent
0,UK,1994,67,3,16221.9573500265,535538,Private rent
0,UK,1994,67,4,14971.4280135781,535538,Care of/rent free
0,UK,1994,68,1,303730.503197038,460972,Owner occupier
0,UK,1994,68,2,130647.810883036,460972,Social rent
0,UK,1994,68,3,15616.1261411292,460972,Private rent
0,UK,1994,68,4,10977.5597787971,460972,Care of/rent free
0,UK,1994,69,1,335019.260188295,495317,Owner occupier
0,UK,1994,69,2,132433.731485545,495317,Social rent
0,UK,1994,69,3,15835.5907043898,495317,Private rent
0,UK,1994,69,4,12028.4176217701,495317,Care of/rent free
0,UK,1994,70,1,333573.680755536,493020,Owner occupier
0,UK,1994,70,2,130457.008909198,493020,Social rent
0,UK,1994,70,3,14986.5688100442,493020,Private rent
0,UK,1994,70,4,14002.7415252219,493020,Care of/rent free
0,UK,1994,71,1,342889.920900138,516183,Owner occupier
0,UK,1994,71,2,138060.970903984,516183,Social rent
0,UK,1994,71,3,18478.2034820859,516183,Private rent
0,UK,1994,71,4,16753.9047137917,516183,Care of/rent free
0,UK,1994,72,1,302292.260813957,464381,Owner occupier
0,UK,1994,72,2,129968.966369049,464381,Social rent
0,UK,1994,72,3,15211.4874319052,464381,Private rent
0,UK,1994,72,4,16908.2853850892,464381,Care of/rent free
0,UK,1994,73,1,323399.717450197,511839,Owner occupier
0,UK,1994,73,2,147551.139589879,511839,Social rent
0,UK,1994,73,3,18462.4629575513,511839,Private rent
0,UK,1994,73,4,22425.6800023725,511839,Care of/rent free
0,UK,1994,74,1,303979.76912223,512323,Owner occupier
0,UK,1994,74,2,158101.012994403,512323,Social rent
0,UK,1994,74,3,23305.754843245,512323,Private rent
0,UK,1994,74,4,26936.4630401218,512323,Care of/rent free
0,UK,1994,75,1,195198.301520844,338424,Owner occupier
0,UK,1994,75,2,106896.368955215,338424,Social rent
0,UK,1994,75,3,16990.0626153554,338424,Private rent
0,UK,1994,75,4,19339.2669085852,338424,Care of/rent free
0,UK,1994,76,1,177639.134347395,309518,Owner occupier
0,UK,1994,76,2,99945.2887708481,309518,Social rent
0,UK,1994,76,3,14911.1169474571,309518,Private rent
0,UK,1994,76,4,17022.4599342997,309518,Care of/rent free
0,UK,1994,77,1,161567.33462989,276993,Owner occupier
0,UK,1994,77,2,89748.0573575895,276993,Social rent
0,UK,1994,77,3,12701.8528945552,276993,Private rent
0,UK,1994,77,4,12975.7551179657,276993,Care of/rent free
0,UK,1994,78,1,176784.750815422,310435,Owner occupier
0,UK,1994,78,2,99614.4298787124,310435,Social rent
